id,numero linha,id_mob,faixa,n partidas,id_pc,corredor,sum_faixa,sum_faixa_estu,e,n,lat,lon
"1","840",BUS_CR8402,"22","1","1",C,5.285714286,4.122857143,751439.459115082,6960922.3481223,-27.452028,-48.455947
"2","221",BUS_CR2211,"18","5","1",P,151.3555556,119.5708889,751439.459115082,6960922.3481223,-27.452028,-48.455947
"3","210",BUS_CR2101,"21","5","1",P,73.16053114,59.99163553,751439.459115082,6960922.3481223,-27.452028,-48.455947
"4","840",BUS_CR8402,"18","1","1",C,9.6,7.488,751439.459115082,6960922.3481223,-27.452028,-48.455947
"5","221",BUS_CR2211,"19","4","1",P,85.38055556,67.45063889,751439.459115082,6960922.3481223,-27.452028,-48.455947
"6","210",BUS_CR2101,"22","3","1",P,34.37069597,28.1839707,751439.459115082,6960922.3481223,-27.452028,-48.455947
"7","233",BUS_CR2331,"10","2","1",P,80.28409091,53.79034091,751439.459115082,6960922.3481223,-27.452028,-48.455947
"8","221",BUS_CR2211,"20","4","1",P,61.64444444,48.69911111,751439.459115082,6960922.3481223,-27.452028,-48.455947
"9","840",BUS_CR8402,"16","1","1",C,20.88888889,16.29333333,751439.459115082,6960922.3481223,-27.452028,-48.455947
"10","233",BUS_CR2332,"22","4","1",C,143.4380952,96.10352378,751439.459115082,6960922.3481223,-27.452028,-48.455947
"11","221",BUS_CR2211,"21","5","1",P,39.02380952,30.82880952,751439.459115082,6960922.3481223,-27.452028,-48.455947
"12","210",BUS_CR2101,"5","3","1",P,227.9724942,186.9374452,751439.459115082,6960922.3481223,-27.452028,-48.455947
"13","840",BUS_CR8402,"13","1","1",C,24.57142857,19.16571428,751439.459115082,6960922.3481223,-27.452028,-48.455947
"14","221",BUS_CR2211,"22","1","1",P,16.5,13.035,751439.459115082,6960922.3481223,-27.452028,-48.455947
"15","210",BUS_CR2101,"6","10","1",P,775.9337662,636.2656883,751439.459115082,6960922.3481223,-27.452028,-48.455947
"16","210",BUS_CR2101,"14","5","1",P,296.8409091,243.4095455,751439.459115082,6960922.3481223,-27.452028,-48.455947
"17","221",BUS_CR2211,"5","3","1",P,130.6125874,103.183944,751439.459115082,6960922.3481223,-27.452028,-48.455947
"18","840",BUS_CR8401,"8","1","1",P,12.23076923,9.539999999,751439.459115082,6960922.3481223,-27.452028,-48.455947
"19","210",BUS_CR2101,"7","11","1",P,846.038345,693.7514429,751439.459115082,6960922.3481223,-27.452028,-48.455947
"20","221",BUS_CR2211,"6","6","1",P,439.1602564,346.9366026,751439.459115082,6960922.3481223,-27.452028,-48.455947
"21","840",BUS_CR8401,"7","1","1",P,12,9.36,751439.459115082,6960922.3481223,-27.452028,-48.455947
"22","230",BUS_CR2302,"19","2","1",C,74.75,62.0425,751439.459115082,6960922.3481223,-27.452028,-48.455947
"23","221",BUS_CR2211,"7","6","1",P,387.5993687,306.2035013,751439.459115082,6960922.3481223,-27.452028,-48.455947
"24","210",BUS_CR2101,"8","9","1",P,608.4924242,498.9637878,751439.459115082,6960922.3481223,-27.452028,-48.455947
"25","840",BUS_CR8401,"6","3","1",P,17.13888889,13.36833333,751439.459115082,6960922.3481223,-27.452028,-48.455947
"26","221",BUS_CR2211,"8","5","1",P,300.0041667,237.0032917,751439.459115082,6960922.3481223,-27.452028,-48.455947
"27","210",BUS_CR2101,"9","7","1",P,475.1571429,389.6288572,751439.459115082,6960922.3481223,-27.452028,-48.455947
"28","233",BUS_CR2332,"23","1","1",C,49,32.83,751439.459115082,6960922.3481223,-27.452028,-48.455947
"29","221",BUS_CR2211,"9","3","1",P,166.4285714,131.4785714,751439.459115082,6960922.3481223,-27.452028,-48.455947
